Player,Rate,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,qb_Cmp,qb_Att,qb_Inc,qb_Cmp%,qb_Yds,qb_TD,qb_Int,qb_TD%,qb_Int%,qb_Y/A,qb_AY/A,qb_Y/C,qb_Y/G,Pos,Team,rb_rush_Y/G,rb_rush_Att,rb_rush_Yds,rb_rush_Y/A,rb_rush_TD,rb_rec_Rec,rb_rec_Y/R,rb_rec_TD,rb_rec_Y/G,rec_Y/G,rec_Rec,rec_Yds,rec_Y/R,rec_TD,Sk,Solo,Ast,Comb,TFL,Sk/G,Int,IntTD,PD,name_norm,position,college,college_norm,player_id
Tavon Wilson,,NWE,2,48,2012,Illinois,2008,2011,50.0,,,,,,,,,,,,,,DB,Illinois,,,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0,tavon wilson,DB,Illinois,illinois,
Kendall Reyes,,SDG,2,49,2012,Connecticut,2008,2011,49.0,,,,,,,,,,,,,,DL,Connecticut,,,,,,,,,,,,,,,11.0,78.0,64.0,142.0,32.5,0.2244897959183673,,,,kendall reyes,DL,Connecticut,connecticut,
Isaiah Pead,,RAM,2,50,2012,Cincinnati,2008,2011,44.0,,,,,,,,,,,,,,RB,Cincinnati,74.7,545.0,3288.0,6.0,27.0,87.0,8.3,6.0,16.4,,,,,,,,,,,,,,,isaiah pead,RB,Cincinnati,cincinnati,96.0
Jerel Worthy,,GNB,2,51,2012,Michigan State,2009,2011,40.0,,,,,,,,,,,,,,DL,Michigan State,,,,,,,,,,,,,,,12.0,52.0,55.0,107.0,27.5,0.3,,,,jerel worthy,DL,Michigan State,michigan state,
Zach Brown,,OTI,2,52,2012,North Carolina,2008,2011,47.0,,,,,,,,,,,,,,LB,North Carolina,,,,,,,,,,,,,,,5.0,143.0,87.0,230.0,19.0,0.1063829787234042,,,,zach brown,LB,North Carolina,north carolina,
Devon Still,,CIN,2,53,2012,Penn State,2009,2011,39.0,,,,,,,,,,,,,,DL,Penn State,,,,,,,,,,,,,,,10.0,55.0,58.0,113.0,32.5,0.2564102564102564,,,,devon still,DL,Penn State,penn state,
Ryan Broyles,,DET,2,54,2012,Oklahoma,2008,2011,48.0,,,,,,,,,,,,,,WR,Oklahoma,,,,,,,,,,95.5,349.0,4586.0,13.1,45.0,,,,,,,,,,ryan broyles,WR,Oklahoma,oklahoma,312.0
Brock Osweiler,135.0,DEN,2,57,2012,Arizona State,2009,2011,25.0,412.0,680.0,268.0,60.6,5082.0,33.0,15.0,4.9,2.2,7.5,7.45,12.3,203.3,QB,Arizona State,,,,,,,,,,,,,,,,,,,,,,,,brock osweiler,QB,Arizona State,arizona state,
Lavonte David,,TAM,2,58,2012,Nebraska,2010,2011,27.0,,,,,,,,,,,,,,LB,Nebraska,,,,,,,,,,,,,,,11.0,150.0,135.0,285.0,24.5,0.4074074074074074,,,,lavonte david,LB,Nebraska,nebraska,
Vinny Curry,,PHI,2,59,2012,Marshall,2008,2011,45.0,,,,,,,,,,,,,,DL,Marshall,,,,,,,,,,,,,,,26.0,111.0,128.0,239.0,49.0,0.5777777777777777,,,,vinny curry,DL,Marshall,marshall,
LaMichael James,,SFO,2,61,2012,Oregon,2009,2011,37.0,,,,,,,,,,,,,,RB,Oregon,137.4,771.0,5082.0,6.6,53.0,51.0,11.5,4.0,15.8,,,,,,,,,,,,,,,lamichael james,RB,Oregon,oregon,93.0
Casey Hayward,,GNB,2,62,2012,Vanderbilt,2008,2011,50.0,,,,,,,,,,,,,,DB,Vanderbilt,,,,,,,,,,,,,,,,,,,,,15.0,1.0,3.0,casey hayward,DB,Vanderbilt,vanderbilt,
Rueben Randle,,NYG,2,63,2012,LSU,2009,2011,40.0,,,,,,,,,,,,,,WR,LSU,,,,,,,,,,40.9,97.0,1634.0,16.8,13.0,,,,,,,,,,rueben randle,WR,LSU,lsu,326.0
Dwayne Allen,,CLT,3,64,2012,Clemson,2009,2011,41.0,,,,,,,,,,,,,,TE,Clemson,,,,,,,,,,26.3,93.0,1079.0,11.6,12.0,,,,,,,,,,dwayne allen,TE,Clemson,clemson,211.0
Josh Robinson,,MIN,3,66,2012,UCF,2009,2011,38.0,,,,,,,,,,,,,,DB,UCF,,,,,,,,,,,,,,,,,,,,,10.0,2.0,0.0,josh robinson,DB,UCF,ucf,
Ronnie Hillman,,DEN,3,67,2012,San Diego State,2010,2011,26.0,,,,,,,,,,,,,,RB,San Diego State,124.7,573.0,3243.0,5.7,36.0,33.0,10.2,2.0,13.0,,,,,,,,,,,,,,,ronnie hillman,RB,San Diego State,san diego state,
Devier Posey,,HTX,3,68,2012,Ohio State,2008,2011,42.0,,,,,,,,,,,,,,WR,Ohio State,,,,,,,,,,46.5,136.0,1955.0,14.4,18.0,,,,,,,,,,devier posey,WR,Ohio State,ohio state,
T.J. Graham,,BUF,3,69,2012,North Carolina State,2008,2011,46.0,,,,,,,,,,,,,,WR,North Carolina State,,,,,,,,,,31.6,99.0,1453.0,14.7,12.0,,,,,,,,,,t j graham,WR,North Carolina State,north carolina state,
Olivier Vernon,,MIA,3,72,2012,Miami (FL),2009,2011,30.0,,,,,,,,,,,,,,DL,Miami (FL),,,,,,,,,,,,,,,9.0,51.0,30.0,81.0,20.5,0.3,,,,olivier vernon,DL,Miami (FL),miami (fl),
Brandon Taylor,,SDG,3,73,2012,LSU,2008,2011,49.0,,,,,,,,,,,,,,DB,LSU,,,,,,,,,,,,,,,,,,,,,4.0,0.0,11.0,brandon taylor,DB,LSU,lsu,
Donald Stephenson,,KAN,3,74,2012,Oklahoma,2010,2010,14.0,,,,,,,,,,,,,,OL,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,donald stephenson,OL,Oklahoma,oklahoma,
Russell Wilson,147.2,SEA,3,75,2012,Wisconsin,2008,2011,50.0,907.0,1489.0,582.0,60.9,11720.0,109.0,30.0,7.3,2.0,7.9,8.43,12.9,234.4,QB,North Carolina StateWisconsin,,,,,,,,,,,,,,,,,,,,,,,,russell wilson,QB,Wisconsin,wisconsin,16.0
Brandon Brooks,,HTX,3,76,2012,Miami (OH),2009,2010,21.0,,,,,,,,,,,,,,OL,Miami (OH),,,,,,,,,,,,,,,,,,,,,,,,brandon brooks,OL,Miami (OH),miami (oh),
Demario Davis,,NYJ,3,77,2012,Arkansas State,2008,2011,48.0,,,,,,,,,,,,,,LB,Arkansas State,,,,,,,,,,,,,,,7.0,129.0,100.0,229.0,22.5,0.1458333333333333,,,,demario davis,LB,Arkansas State,arkansas state,
Michael Egnew,,MIA,3,78,2012,Missouri,2008,2011,50.0,,,,,,,,,,,,,,WR,Missouri,,,,,,,,,,26.6,147.0,1332.0,9.1,8.0,,,,,,,,,,michael egnew,WR,Missouri,missouri,
Brandon Hardin,,CHI,3,79,2012,Oregon State,2008,2010,38.0,,,,,,,,,,,,,,DB,Oregon State,,,,,,,,,,,,,,,,,,,,,1.0,0.0,3.0,brandon hardin,DB,Oregon State,oregon state,
Jamell Fleming,,CRD,3,80,2012,Oklahoma,2008,2011,51.0,,,,,,,,,,,,,,DB,Oklahoma,,,,,,,,,,,,,,,,,,,,,7.0,1.0,0.0,jamell fleming,DB,Oklahoma,oklahoma,
Tyrone Crawford,,DAL,3,81,2012,Boise State,2010,2011,25.0,,,,,,,,,,,,,,DL,Boise State,,,,,,,,,,,,,,,13.0,33.0,43.0,76.0,27.0,0.52,,,,tyrone crawford,DL,Boise State,boise state,
Mike Martin,,OTI,3,82,2012,Michigan,2008,2011,49.0,,,,,,,,,,,,,,DL,Michigan,,,,,,,,,,,,,,,10.0,70.0,102.0,172.0,25.0,0.2040816326530612,,,,mike martin,DL,Michigan,michigan,
Mohamed Sanu,,CIN,3,83,2012,Rutgers,2009,2011,38.0,,,,,,,,,,,,,,WR,Rutgers,,,,,,,,,,59.6,210.0,2263.0,10.8,12.0,,,,,,,,,,mohamed sanu,WR,Rutgers,rutgers,327.0
Bernard Pierce,,RAV,3,84,2012,Temple,2009,2011,34.0,,,,,,,,,,,,,,RB,Temple,105.0,663.0,3570.0,5.4,53.0,19.0,9.4,1.0,5.2,,,,,,,,,,,,,,,bernard pierce,RB,Temple,temple,97.0
Sean Spence,,PIT,3,86,2012,Miami (FL),2008,2011,47.0,,,,,,,,,,,,,,LB,Miami (FL),,,,,,,,,,,,,,,10.0,169.0,148.0,317.0,46.0,0.2127659574468085,,,,sean spence,LB,Miami (FL),miami (fl),
John Hughes,,CLE,3,87,2012,Cincinnati,2008,2011,50.0,,,,,,,,,,,,,,DL,Cincinnati,,,,,,,,,,,,,,,9.0,70.0,71.0,141.0,25.5,0.18,,,,john hughes,DL,Cincinnati,cincinnati,
Nick Foles,138.1,PHI,3,88,2012,Arizona,2007,2011,36.0,938.0,1404.0,466.0,66.8,10068.0,67.0,33.0,4.8,2.4,7.2,7.07,10.7,279.7,QB,ArizonaMichigan State,,,,,,,,,,,,,,,,,,,,,,,,nick foles,QB,Arizona,arizona,12.0
Jake Bequette,,NWE,3,90,2012,Arkansas,2008,2011,48.0,,,,,,,,,,,,,,DL,Arkansas,,,,,,,,,,,,,,,23.0,63.0,63.0,126.0,31.0,0.4791666666666667,,,,jake bequette,DL,Arkansas,arkansas,
Lamar Holmes,,ATL,3,91,2012,Southern Mississippi,2011,2011,14.0,,,,,,,,,,,,,,OL,Southern Mississippi,,,,,,,,,,,,,,,,,,,,,,,,lamar holmes,OL,Southern Mississippi,southern mississippi,
T.Y. Hilton,,CLT,3,92,2012,Florida International,2008,2011,50.0,,,,,,,,,,,,,,WR,Florida International,,,,,,,,,,70.6,229.0,3531.0,15.4,24.0,,,,,,,,,,t y hilton,WR,Florida International,florida international,320.0
Brandon Thompson,,CIN,3,93,2012,Clemson,2008,2011,53.0,,,,,,,,,,,,,,DL,Clemson,,,,,,,,,,,,,,,4.0,59.0,70.0,129.0,19.5,0.0754716981132075,,,,brandon thompson,DL,Clemson,clemson,
Jayron Hosley,,NYG,3,94,2012,Virginia Tech,2009,2011,39.0,,,,,,,,,,,,,,DB,Virginia Tech,,,,,,,,,,,,,,,,,,,,,12.0,0.0,0.0,jayron hosley,DB,Virginia Tech,virginia tech,
Tony Bergstrom,,RAI,3,95,2012,Utah,2008,2008,10.0,,,,,,,,,,,,,,OL,Utah,,,,,,,,,,,,,,,,,,,,,,,,tony bergstrom,OL,Utah,utah,
Chris Givens,,RAM,4,96,2012,Wake Forest,2009,2011,36.0,,,,,,,,,,,,,,WR,Wake Forest,,,,,,,,,,68.7,163.0,2473.0,15.2,21.0,,,,,,,,,,chris givens,WR,Wake Forest,wake forest,317.0
Lamar Miller,,MIA,4,97,2012,Miami (FL),2010,2011,23.0,,,,,,,,,,,,,,RB,Miami (FL),83.4,335.0,1918.0,5.7,15.0,28.0,6.5,1.0,7.9,,,,,,,,,,,,,,,lamar miller,RB,Miami (FL),miami (fl),94.0
Ben Jones,,HTX,4,99,2012,Georgia,2009,2009,13.0,,,,,,,,,,,,,,OL,Georgia,,,,,,,,,,,,,,,,,,,,,,,,ben jones,OL,Georgia,georgia,
Travis Benjamin,,CLE,4,100,2012,Miami (FL),2008,2011,49.0,,,,,,,,,,,,,,WR,Miami (FL),,,,,,,,,,43.8,131.0,2146.0,16.4,13.0,,,,,,,,,,travis benjamin,WR,Miami (FL),miami (fl),310.0
Omar Bolden,,DEN,4,101,2012,Arizona State,2007,2010,41.0,,,,,,,,,,,,,,DB,Arizona State,,,,,,,,,,,,,,,,,,,,,7.0,2.0,7.0,omar bolden,DB,Arizona State,arizona state,
Kirk Cousins,146.1,WAS,4,102,2012,Michigan State,2008,2011,45.0,723.0,1128.0,405.0,64.1,9131.0,66.0,30.0,5.9,2.7,8.1,8.07,12.6,202.9,QB,Michigan State,,,,,,,,,,,,,,,,,,,,,,,,kirk cousins,QB,Michigan State,michigan state,
Frank Alexander,,CAR,4,103,2012,Oklahoma,2008,2011,48.0,,,,,,,,,,,,,,DL,Oklahoma,,,,,,,,,,,,,,,20.0,83.0,59.0,142.0,44.0,0.4166666666666667,,,,frank alexander,DL,Oklahoma,oklahoma,
Joe Adams,,CAR,4,104,2012,Arkansas,2008,2011,47.0,,,,,,,,,,,,,,WR,Arkansas,,,,,,,,,,51.3,164.0,2410.0,14.7,17.0,,,,,,,,,,joe adams,WR,Arkansas,arkansas,309.0
Nigel Bradham,,BUF,4,105,2012,Florida State,2008,2011,53.0,,,,,,,,,,,,,,LB,Florida State,,,,,,,,,,,,,,,9.0,188.0,117.0,305.0,21.5,0.1698113207547169,,,,nigel bradham,LB,Florida State,florida state,
Robert Turbin,,SEA,4,106,2012,Utah State,2007,2011,38.0,,,,,,,,,,,,,,RB,Utah State,87.2,565.0,3315.0,5.9,40.0,67.0,12.6,11.0,22.2,,,,,,,,,,,,,,,robert turbin,RB,Utah State,utah state,
Devon Wylie,,KAN,4,107,2012,Fresno State,2007,2011,43.0,,,,,,,,,,,,,,WR,Fresno State,,,,,,,,,,30.9,98.0,1327.0,13.5,8.0,,,,,,,,,,devon wylie,WR,Fresno State,fresno state,
Philip Blake,,DEN,4,108,2012,Baylor,2010,2010,13.0,,,,,,,,,,,,,,OL,Baylor,,,,,,,,,,,,,,,,,,,,,,,,philip blake,OL,Baylor,baylor,
Alameda Ta'Amu,,PIT,4,109,2012,Washington,2008,2011,50.0,,,,,,,,,,,,,,DL,Washington,,,,,,,,,,,,,,,7.0,57.0,52.0,109.0,16.5,0.14,,,,alameda ta amu,DL,Washington,washington,
Evan Rodriguez,,CHI,4,111,2012,Temple,2009,2011,37.0,,,,,,,,,,,,,,TE,Temple,,,,,,,,,,23.5,69.0,871.0,12.6,7.0,,,,,,,,,,evan rodriguez,TE,Temple,temple,
Bobby Massie,,CRD,4,112,2012,Ole Miss,2011,2011,12.0,,,,,,,,,,,,,,OL,Ole Miss,,,,,,,,,,,,,,,,,,,,,,,,bobby massie,OL,Ole Miss,ole miss,
Kyle Wilber,,DAL,4,113,2012,Wake Forest,2008,2011,43.0,,,,,,,,,,,,,,DL,Wake Forest,,,,,,,,,,,,,,,13.0,117.0,78.0,195.0,35.5,0.3023255813953488,,,,kyle wilber,DL,Wake Forest,wake forest,
Jaye Howard,,SEA,4,114,2012,Florida,2008,2011,45.0,,,,,,,,,,,,,,DL,Florida,,,,,,,,,,,,,,,11.0,80.0,51.0,131.0,25.5,0.2444444444444444,,,,jaye howard,DL,Florida,florida,
Coty Sensabaugh,,OTI,4,115,2012,Clemson,2008,2011,52.0,,,,,,,,,,,,,,DB,Clemson,,,,,,,,,,,,,,,,,,,,,4.0,0.0,14.0,coty sensabaugh,DB,Clemson,clemson,
Orson Charles,,CIN,4,116,2012,Georgia,2009,2011,40.0,,,,,,,,,,,,,,TE,Georgia,,,,,,,,,,34.3,94.0,1370.0,14.6,10.0,,,,,,,,,,orson charles,TE,Georgia,georgia,212.0
Joe Looney,,SFO,4,117,2012,Wake Forest,2010,2011,23.0,,,,,,,,,,,,,,OL,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,joe looney,OL,Wake Forest,wake forest,
Jarius Wright,,MIN,4,118,2012,Arkansas,2008,2011,50.0,,,,,,,,,,,,,,WR,Arkansas,,,,,,,,,,58.7,168.0,2934.0,17.5,24.0,,,,,,,,,,jarius wright,WR,Arkansas,arkansas,332.0
Keenan Robinson,,WAS,4,119,2012,Texas,2008,2011,51.0,,,,,,,,,,,,,,LB,Texas,,,,,,,,,,,,,,,5.0,167.0,108.0,275.0,20.5,0.0980392156862745,,,,keenan robinson,LB,Texas,texas,
James-Michael Johnson,,CLE,4,120,2012,Nevada,2007,2011,54.0,,,,,,,,,,,,,,LB,Nevada,,,,,,,,,,,,,,,7.0,169.0,126.0,295.0,37.5,0.1296296296296296,,,,james michael johnson,LB,Nevada,nevada,
Keshawn Martin,,HTX,4,121,2012,Michigan State,2008,2011,48.0,,,,,,,,,,,,,,WR,Michigan State,,,,,,,,,,35.7,127.0,1714.0,13.5,10.0,,,,,,,,,,keshawn martin,WR,Michigan State,michigan state,
Nick Toon,,NOR,4,122,2012,Wisconsin,2008,2011,47.0,,,,,,,,,,,,,,WR,Wisconsin,,,,,,,,,,52.1,171.0,2447.0,14.3,18.0,,,,,,,,,,nick toon,WR,Wisconsin,wisconsin,329.0
Brandon Boykin,,PHI,4,123,2012,Georgia,2008,2011,53.0,,,,,,,,,,,,,,DB,Georgia,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,brandon boykin,DB,Georgia,georgia,
Ron Brooks,,BUF,4,124,2012,LSU,2008,2011,53.0,,,,,,,,,,,,,,DB,LSU,,,,,,,,,,,,,,,,,,,,,3.0,3.0,9.0,ron brooks,DB,LSU,lsu,
Ronnell Lewis,,DET,4,125,2012,Oklahoma,2009,2011,34.0,,,,,,,,,,,,,,LB,Oklahoma,,,,,,,,,,,,,,,10.0,67.0,51.0,118.0,20.5,0.2941176470588235,,,,ronnell lewis,LB,Oklahoma,oklahoma,
Jared Crick,,HTX,4,126,2012,Nebraska,2008,2011,40.0,,,,,,,,,,,,,,DL,Nebraska,,,,,,,,,,,,,,,20.0,75.0,92.0,167.0,29.5,0.5,,,,jared crick,DL,Nebraska,nebraska,
Adrien Robinson,,NYG,4,127,2012,Cincinnati,2008,2011,39.0,,,,,,,,,,,,,,WR,Cincinnati,,,,,,,,,,11.1,29.0,434.0,15.0,5.0,,,,,,,,,,adrien robinson,WR,Cincinnati,cincinnati,
Rhett Ellison,,MIN,4,128,2012,USC,2008,2011,47.0,,,,,,,,,,,,,,TE,USC,,,,,,,,,,10.0,53.0,471.0,8.9,6.0,,,,,,,,,,rhett ellison,TE,USC,usc,
Miles Burris,,RAI,4,129,2012,San Diego State,2008,2011,50.0,,,,,,,,,,,,,,LB,San Diego State,,,,,,,,,,,,,,,19.0,141.0,94.0,235.0,47.0,0.38,,,,miles burris,LB,San Diego State,san diego state,
Brandon Mosley,,NYG,4,131,2012,Auburn,2010,2011,27.0,,,,,,,,,,,,,,OL,Auburn,,,,,,,,,,,,,,,,,,,,,,,,brandon mosley,OL,Auburn,auburn,
Mike Daniels,,GNB,4,132,2012,Iowa,2008,2011,47.0,,,,,,,,,,,,,,DL,Iowa,,,,,,,,,,,,,,,15.0,54.0,69.0,123.0,27.0,0.3191489361702128,,,,mike daniels,DL,Iowa,iowa,
Greg Childs,,MIN,4,134,2012,Arkansas,2008,2011,44.0,,,,,,,,,,,,,,WR,Arkansas,,,,,,,,,,47.0,133.0,2066.0,15.5,15.0,,,,,,,,,,greg childs,WR,Arkansas,arkansas,313.0
Josh Chapman,,CLT,5,136,2012,Alabama,2007,2011,49.0,,,,,,,,,,,,,,DL,Alabama,,,,,,,,,,,,,,,2.0,44.0,44.0,88.0,13.5,0.0408163265306122,,,,josh chapman,DL,Alabama,alabama,
Malik Jackson,,DEN,5,137,2012,Tennessee,2010,2011,25.0,,,,,,,,,,,,,,DL,Tennessee,,,,,,,,,,,,,,,7.0,52.0,52.0,104.0,22.0,0.28,,,,malik jackson,DL,Tennessee,tennessee,
Tahir Whitehead,,DET,5,138,2012,Temple,2010,2011,25.0,,,,,,,,,,,,,,LB,Temple,,,,,,,,,,,,,,,7.0,80.0,46.0,126.0,21.0,0.28,,,,tahir whitehead,LB,Temple,temple,
Tahir Whitehead,,DET,5,138,2012,Temple,2008,2009,25.0,,,,,,,,,,,,,,DB,Temple,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,tahir whitehead,DB,Temple,temple,
Robert Blanton,,MIN,5,139,2012,Notre Dame,2008,2011,50.0,,,,,,,,,,,,,,DB,Notre Dame,,,,,,,,,,,,,,,,,,,,,8.0,1.0,10.0,robert blanton,DB,Notre Dame,notre dame,
Najee Goode,,TAM,5,140,2012,West Virginia,2008,2011,52.0,,,,,,,,,,,,,,LB,West Virginia,,,,,,,,,,,,,,,8.0,80.0,77.0,157.0,22.5,0.1538461538461538,,,,najee goode,LB,West Virginia,west virginia,
Brandon Marshall,,JAX,5,142,2012,Nevada,2008,2011,52.0,,,,,,,,,,,,,,LB,Nevada,,,,,,,,,,,,,,,6.0,147.0,112.0,259.0,33.5,0.1153846153846153,,,,brandon marshall,LB,Nevada,nevada,
Zebrie Sanders,,BUF,5,144,2012,Florida State,2010,2010,14.0,,,,,,,,,,,,,,OL,Florida State,,,,,,,,,,,,,,,,,,,,,,,,zebrie sanders,OL,Florida State,florida state,
Taylor Thompson,,OTI,5,145,2012,SMU,2008,2011,50.0,,,,,,,,,,,,,,DL,SMU,,,,,,,,,,,,,,,18.0,74.0,65.0,139.0,22.5,0.36,,,,taylor thompson,DL,SMU,smu,
Dequan Menzie,,KAN,5,146,2012,Alabama,2010,2011,25.0,,,,,,,,,,,,,,DB,Alabama,,,,,,,,,,,,,,,,,,,,,1.0,1.0,15.0,dequan menzie,DB,Alabama,alabama,
Tank Carder,,BUF,5,147,2012,Texas Christian,2008,2011,50.0,,,,,,,,,,,,,,LB,Texas Christian,,,,,,,,,,,,,,,5.0,137.0,91.0,228.0,25.0,0.1,,,,tank carder,LB,Texas Christian,texas christian,
Johnnie Troutman,,SDG,5,149,2012,Penn State,2011,2011,13.0,,,,,,,,,,,,,,OL,Penn State,,,,,,,,,,,,,,,,,,,,,,,,johnnie troutman,OL,Penn State,penn state,
Senio Kelemete,,CRD,5,151,2012,Washington,2008,2008,8.0,,,,,,,,,,,,,,DL,Washington,,,,,,,,,,,,,,,0.0,4.0,0.0,4.0,0.0,0.0,,,,senio kelemete,DL,Washington,washington,
Danny Coale,,DAL,5,152,2012,Virginia Tech,2008,2011,55.0,,,,,,,,,,,,,,WR,Virginia Tech,,,,,,,,,,48.3,165.0,2658.0,16.1,8.0,,,,,,,,,,danny coale,WR,Virginia Tech,virginia tech,314.0
Dennis Kelly,,PHI,5,153,2012,Purdue,2011,2011,13.0,,,,,,,,,,,,,,OL,Purdue,,,,,,,,,,,,,,,,,,,,,,,,dennis kelly,OL,Purdue,purdue,
Korey Toomer,,SEA,5,154,2012,Idaho,2009,2011,25.0,,,,,,,,,,,,,,LB,Idaho,,,,,,,,,,,,,,,4.0,44.0,33.0,77.0,10.5,0.16,,,,korey toomer,LB,Idaho,idaho,
Josh Kaddu,,MIA,5,155,2012,Oregon,2008,2011,40.0,,,,,,,,,,,,,,LB,Oregon,,,,,,,,,,,,,,,10.0,68.0,40.0,108.0,20.0,0.25,,,,josh kaddu,LB,Oregon,oregon,
Shaun Prater,,CIN,5,156,2012,Iowa,2008,2011,48.0,,,,,,,,,,,,,,DB,Iowa,,,,,,,,,,,,,,,,,,,,,7.0,2.0,11.0,shaun prater,DB,Iowa,iowa,
Bradie Ewing,,ATL,5,157,2012,Wisconsin,2008,2011,52.0,,,,,,,,,,,,,,RB,Wisconsin,0.6,7.0,33.0,4.7,2.0,28.0,11.7,2.0,6.3,,,,,,,,,,,,,,,bradie ewing,RB,Wisconsin,wisconsin,
Jack Crawford,,RAI,5,158,2012,Penn State,2009,2011,36.0,,,,,,,,,,,,,,DL,Penn State,,,,,,,,,,,,,,,14.0,35.0,50.0,85.0,26.5,0.3888888888888889,,,,jack crawford,DL,Penn State,penn state,
Chris Rainey,,PIT,5,159,2012,Florida,2007,2011,45.0,,,,,,,,,,,,,,RB,Florida,46.6,345.0,2098.0,6.1,11.0,44.0,13.2,3.0,12.9,,,,,,,,,,,,,,,chris rainey,RB,Florida,florida,98.0
Chris Rainey,,PIT,5,159,2012,Florida,2010,2010,8.0,,,,,,,,,,,,,,WR,Florida,,,,,,,,,,27.0,25.0,216.0,8.6,3.0,,,,,,,,,,chris rainey,WR,Florida,florida,
Ryan Miller,,CLE,5,160,2012,Colorado,2010,2010,12.0,,,,,,,,,,,,,,OL,Colorado,,,,,,,,,,,,,,,,,,,,,,,,ryan miller,OL,Colorado,colorado,
Terrell Manning,,GNB,5,163,2012,North Carolina State,2009,2011,36.0,,,,,,,,,,,,,,LB,North Carolina State,,,,,,,,,,,,,,,10.0,112.0,81.0,193.0,27.5,0.2777777777777778,,,,terrell manning,LB,North Carolina State,north carolina state,
Jonathan Massaquoi,,ATL,5,164,2012,Troy,2010,2011,25.0,,,,,,,,,,,,,,DL,Troy,,,,,,,,,,,,,,,19.0,81.0,47.0,128.0,31.0,0.76,,,,jonathan massaquoi,DL,Troy,troy,
Darius Fleming,,SFO,5,165,2012,Notre Dame,2008,2011,50.0,,,,,,,,,,,,,,LB,Notre Dame,,,,,,,,,,,,,,,14.0,86.0,71.0,157.0,32.0,0.28,,,,darius fleming,LB,Notre Dame,notre dame,
Marvin Jones,,CIN,5,166,2012,California,2008,2011,43.0,,,,,,,,,,,,,,WR,California,,,,,,,,,,52.8,156.0,2270.0,14.6,13.0,,,,,,,,,,marvin jones,WR,California,california,323.0
George Iloka,,CIN,5,167,2012,Boise State,2008,2011,53.0,,,,,,,,,,,,,,DB,Boise State,,,,,,,,,,,,,,,,,,,,,7.0,0.0,1.0,george iloka,DB,Boise State,boise state,
Juron Criner,,RAI,5,168,2012,Arizona,2008,2011,50.0,,,,,,,,,,,,,,WR,Arizona,,,,,,,,,,57.2,209.0,2859.0,13.7,32.0,,,,,,,,,,juron criner,WR,Arizona,arizona,315.0
Vick Ballard,,CLT,5,170,2012,Mississippi State,2010,2011,25.0,,,,,,,,,,,,,,RB,Mississippi State,86.3,379.0,2157.0,5.7,29.0,30.0,9.8,2.0,11.7,,,,,,,,,,,,,,,vick ballard,RB,Mississippi State,mississippi state,
Alfred Morris,,WAS,6,173,2012,Florida Atlantic,2008,2011,47.0,,,,,,,,,,,,,,RB,Florida Atlantic,75.1,733.0,3529.0,4.8,27.0,30.0,10.0,4.0,6.4,,,,,,,,,,,,,,,alfred morris,RB,Florida Atlantic,florida atlantic,95.0
Keith Tandy,,TAM,6,174,2012,West Virginia,2008,2011,45.0,,,,,,,,,,,,,,DB,West Virginia,,,,,,,,,,,,,,,,,,,,,13.0,0.0,20.0,keith tandy,DB,West Virginia,west virginia,
Mike Harris,,JAX,6,176,2012,Florida State,2010,2011,27.0,,,,,,,,,,,,,,DB,Florida State,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,mike harris,DB,Florida State,florida state,
Mark Asper,,BUF,6,178,2012,Oregon,2009,2009,13.0,,,,,,,,,,,,,,OL,Oregon,,,,,,,,,,,,,,,,,,,,,,,,mark asper,OL,Oregon,oregon,
Andrew Tiller,,NOR,6,179,2012,Syracuse,2010,2010,13.0,,,,,,,,,,,,,,OL,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,andrew tiller,OL,Syracuse,syracuse,
Winston Guy,,SEA,6,181,2012,Kentucky,2008,2011,51.0,,,,,,,,,,,,,,DB,Kentucky,,,,,,,,,,,,,,,,,,,,,5.0,0.0,3.0,winston guy,DB,Kentucky,kentucky,
Cyrus Gray,,KAN,6,182,2012,Texas A&M,2008,2011,49.0,,,,,,,,,,,,,,RB,Texas A&M,67.3,632.0,3298.0,5.2,30.0,103.0,7.5,6.0,15.8,,,,,,,,,,,,,,,cyrus gray,RB,Texas A&M,texas a&m,
B.J. Cunningham,,MIA,6,183,2012,Michigan State,2008,2011,51.0,,,,,,,,,,,,,,WR,Michigan State,,,,,,,,,,60.5,218.0,3086.0,14.2,25.0,,,,,,,,,,b j cunningham,WR,Michigan State,michigan state,
Isaiah Frey,,CHI,6,184,2012,Nevada,2008,2011,51.0,,,,,,,,,,,,,,DB,Nevada,,,,,,,,,,,,,,,,,,,,,7.0,0.0,27.0,isaiah frey,DB,Nevada,nevada,
Ryan Lindley,128.8,CRD,6,185,2012,San Diego State,2008,2011,49.0,961.0,1732.0,771.0,55.5,12690.0,90.0,47.0,5.2,2.7,7.3,7.14,13.2,259.0,QB,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,ryan lindley,QB,San Diego State,san diego state,
